ano;cod_mun;num_obt
2016;210400;2
2004;210405;14
2005;210405;22
2006;210405;11
2007;210405;13
2008;210405;8
2009;210405;16
2010;210405;8
2011;210405;10
2012;210405;14
2013;210405;9
2014;210405;6
2015;210405;15
2016;210405;7
2005;210407;2
2006;210407;1
2007;210407;1
2008;210407;4
2009;210407;6
2010;210407;2
2011;210407;1
2012;210407;1
2013;210407;3
2014;210407;4
2015;210407;2
2016;210407;1
2004;210408;3
2005;210408;9
2006;210408;4
2007;210408;5
2008;210408;13
2009;210408;3
2010;210408;7
2011;210408;3
2012;210408;5
2013;210408;4
2014;210408;11
2015;210408;14
2016;210408;8
2004;210409;6
2005;210409;3
2006;210409;10
2007;210409;8
2008;210409;2
2009;210409;18
2010;210409;8
2011;210409;8
2012;210409;3
2013;210409;6
2014;210409;5
2015;210409;4
2016;210409;1
2004;210410;1
2006;210410;5
2007;210410;5
2008;210410;8
2009;210410;7
2010;210410;2
2011;210410;1
2012;210410;2
2013;210410;3
2014;210410;5
2015;210410;1
2016;210410;1
2004;210420;13
2005;210420;10
2006;210420;6
2007;210420;6
2008;210420;8
2009;210420;9
2010;210420;1
2011;210420;5
2012;210420;1
2013;210420;2
2014;210420;9
2015;210420;4
2004;210430;1
2005;210430;1
2007;210430;1
2009;210430;3
2011;210430;2
2012;210430;5
2013;210430;4
2014;210430;1
2016;210430;3
2004;210440;2
2005;210440;4
2006;210440;4
2007;210440;5
2008;210440;4
2009;210440;2
2010;210440;2
2012;210440;4
2013;210440;2
2014;210440;1
2015;210440;1
2016;210440;2
2004;210450;2
2005;210450;3
2006;210450;3
2007;210450;8
2008;210450;2
2009;210450;5
2010;210450;4
2011;210450;3
2012;210450;2
2013;210450;6
2014;210450;3
2015;210450;1
2016;210450;4
2004;210455;2
2005;210455;9
2006;210455;5
2007;210455;7
2008;210455;5
2009;210455;3
2010;210455;3
2011;210455;4
2012;210455;11
2013;210455;4
2014;210455;3
2015;210455;1
2016;210455;3
2004;210460;3
2005;210460;10
2006;210460;14
2007;210460;5
2008;210460;6
2009;210460;1
2010;210460;2
2011;210460;5
2012;210460;2
2013;210460;4
2014;210460;3
2015;210460;4
2016;210460;2
2004;210462;7
2005;210462;4
2006;210462;6
2007;210462;6
2008;210462;2
2009;210462;1
2010;210462;2
2011;210462;1
2012;210462;1
2013;210462;3
2014;210462;1
2016;210462;1
2004;210465;6
2005;210465;2
2006;210465;5
2007;210465;4
2008;210465;4
2009;210465;2
2010;210465;4
2011;210465;2
2012;210465;2
2013;210465;5
2014;210465;1
2015;210465;2
2016;210465;1
2004;210467;11
2005;210467;7
2006;210467;12
2007;210467;11
2008;210467;11
2009;210467;19
2010;210467;9
2011;210467;8
2012;210467;7
2013;210467;13
2014;210467;3
2015;210467;9
2016;210467;2
2006;210470;4
2007;210470;2
2008;210470;2
2010;210470;2
2011;210470;1
2014;210470;1
2015;210470;1
2016;210470;2
2004;210480;12
2005;210480;17
2006;210480;26
2007;210480;26
2008;210480;24
2009;210480;31
2010;210480;24
2011;210480;32
2012;210480;27
2013;210480;22
2014;210480;32
2015;210480;20
2016;210480;34
2004;210490;7
2005;210490;3
2006;210490;5
2007;210490;2
2008;210490;7
2009;210490;1
2010;210490;2
2011;210490;6
2012;210490;5
2013;210490;2
2014;210490;2
2015;210490;1
2016;210490;5
2004;210500;11
2005;210500;11
2006;210500;9
2007;210500;21
2008;210500;8
2009;210500;12
2010;210500;11
2011;210500;7
2012;210500;4
2013;210500;7
2014;210500;7
2015;210500;9
2016;210500;9
2004;210510;7
2005;210510;11
2006;210510;9
2007;210510;9
2008;210510;9
2009;210510;6
2010;210510;5
2011;210510;6
2012;210510;2
2013;210510;6
2014;210510;8
2015;210510;4
2016;210510;5
2004;210515;4
2005;210515;5
2006;210515;6
2007;210515;2
2008;210515;6
2009;210515;3
2010;210515;3
2011;210515;4
2012;210515;3
2013;210515;8
2014;210515;5
2015;210515;6
2016;210515;2
2004;210520;3
2005;210520;2
2006;210520;1
2007;210520;2
2008;210520;5
2009;210520;4
2010;210520;2
2011;210520;3
2012;210520;3
2013;210520;3
2014;210520;4
2015;210520;2
2016;210520;1
2004;210530;99
2005;210530;111
2006;210530;104
2007;210530;74
2008;210530;113
2009;210530;74
2010;210530;75
2011;210530;59
2012;210530;56
2013;210530;69
2014;210530;58
2015;210530;51
2016;210530;60
2004;210535;15
2005;210535;16
2006;210535;1
2007;210535;8
2008;210535;6
2009;210535;3
2010;210535;5
2011;210535;2
2012;210535;2
2013;210535;5
2014;210535;2
2015;210535;5
2016;210535;4
2004;210540;19
2005;210540;36
2006;210540;31
2007;210540;21
2008;210540;13
2009;210540;22
2010;210540;19
2011;210540;30
2012;210540;15
2013;210540;24
2014;210540;15
2015;210540;17
2016;210540;13
2004;210542;11
2005;210542;9
2006;210542;6
2007;210542;10
2008;210542;15
2009;210542;6
2010;210542;9
2011;210542;6
2012;210542;3
2013;210542;4
2014;210542;3
2015;210542;7
2016;210542;4
2004;210545;10
2005;210545;2
2006;210545;5
2007;210545;2
2008;210545;4
2009;210545;2
2010;210545;1
2011;210545;1
2013;210545;4
2014;210545;2
2015;210545;2
2004;210547;3
2005;210547;5
2006;210547;1
2007;210547;15
2008;210547;11
2009;210547;8
2010;210547;5
2011;210547;6
2012;210547;8
2013;210547;6
2014;210547;11
2015;210547;7
2016;210547;15
2004;210550;11
2005;210550;11
2006;210550;12
2007;210550;10
2008;210550;14
2009;210550;5
2010;210550;4
2011;210550;2
2012;210550;4
2013;210550;7
2014;210550;7
2015;210550;4
2016;210550;7
2004;210560;4
2005;210560;22
2006;210560;7
2007;210560;2
2008;210560;8
2009;210560;6
2010;210560;6
2011;210560;5
2012;210560;4
2013;210560;5
2014;210560;2
2015;210560;3
2016;210560;3
2005;210565;2
2006;210565;4
2007;210565;2
2008;210565;1
2009;210565;5
2010;210565;2
2012;210565;1
2013;210565;1
2014;210565;1
2015;210565;3
2004;210570;13
2005;210570;11
2006;210570;9
2007;210570;15
2008;210570;12
2009;210570;20
2010;210570;12
2011;210570;11
2012;210570;18
2013;210570;17
2014;210570;13
2015;210570;8
2016;210570;11
2004;210580;3
2005;210580;3
2006;210580;5
2007;210580;7
2008;210580;2
2009;210580;1
2010;210580;2
2011;210580;2
2012;210580;2
2014;210580;2
2015;210580;3
2016;210580;2
2004;210590;10
2005;210590;6
2006;210590;4
2007;210590;6
2008;210590;6
2009;210590;3
2010;210590;3
2011;210590;9
2012;210590;2
2013;210590;6
2015;210590;1
2016;210590;3
2004;210592;3
2005;210592;4
2006;210592;2
2007;210592;3
2008;210592;6
2009;210592;4
2010;210592;3
2011;210592;2
2012;210592;3
2014;210592;2
2015;210592;5
2016;210592;1
2004;210594;1
2007;210594;2
2008;210594;2
2009;210594;2
2010;210594;3
2011;210594;1
2012;210594;2
2013;210594;1
2014;210594;1
2016;210594;1
2004;210596;4
2005;210596;3
2007;210596;1
2008;210596;5
2009;210596;8
2010;210596;6
2011;210596;1
2012;210596;4
2013;210596;5
2014;210596;1
2015;210596;1
2016;210596;4
2004;210598;1
2005;210598;2
2006;210598;3
2008;210598;1
2010;210598;3
2011;210598;1
2012;210598;1
2013;210598;3
2014;210598;3
2016;210598;3
2004;210600;7
2005;210600;6
2007;210600;3
2008;210600;3
2009;210600;6
2010;210600;4
2011;210600;4
2012;210600;1
2013;210600;2
2015;210600;3
2016;210600;2
2004;210610;5
2005;210610;1
2006;210610;1
2007;210610;4
2009;210610;4
2010;210610;3
2011;210610;2
2012;210610;2
2014;210610;2
2015;210610;4
2016;210610;5
2004;210620;3
2005;210620;3
2006;210620;3
2007;210620;1
2008;210620;5
2009;210620;1
2010;210620;1
2012;210620;4
2013;210620;1
2015;210620;2
2004;210630;9
2005;210630;5
2006;210630;7
2007;210630;5
2008;210630;5
2009;210630;3
2010;210630;5
2011;210630;7
2012;210630;3
2013;210630;5
2014;210630;4
2015;210630;2
2016;210630;1
2004;210632;5
2005;210632;3
2006;210632;4
2007;210632;5
2008;210632;3
2009;210632;12
2010;210632;9
2011;210632;9
2012;210632;10
2013;210632;7
2014;210632;4
2015;210632;3
2016;210632;9
2004;210635;12
2005;210635;8
2006;210635;4
2007;210635;3
2008;210635;2
2009;210635;3
2010;210635;4
2011;210635;4
2012;210635;6
2013;210635;1
2014;210635;7
2016;210635;1
2004;210637;7
2005;210637;6
2006;210637;3
2007;210637;5
2008;210637;1
2009;210637;4
2010;210637;4
2011;210637;7
2012;210637;3
2013;210637;6
2014;210637;2
2015;210637;5
2016;210637;4
2005;210640;5
2006;210640;6
2007;210640;5
2008;210640;7
2009;210640;5
2010;210640;5
2011;210640;8
2012;210640;2
2013;210640;9
2014;210640;1
2015;210640;7
2016;210640;8
2004;210650;2
2005;210650;8
2006;210650;3
2007;210650;4
2008;210650;7
2009;210650;5
2010;210650;8
2011;210650;4
2012;210650;3
2013;210650;8
2014;210650;6
2015;210650;5
2016;210650;4
2004;210660;8
2005;210660;13
2006;210660;16
2007;210660;9
2008;210660;9
2009;210660;10
2010;210660;14
2011;210660;13
2012;210660;12
2013;210660;12
2014;210660;8
2015;210660;11
2016;210660;8
2004;210663;3
2005;210663;2
2006;210663;2
2007;210663;2
2008;210663;2
2009;210663;2
2010;210663;1
2012;210663;1
2013;210663;1
2015;210663;1
2016;210663;2
2005;210667;2
2006;210667;1
2007;210667;3
2008;210667;1
2009;210667;1
2010;210667;1
2013;210667;1
2004;210670;8
2005;210670;8
2006;210670;13
2007;210670;5
2008;210670;6
2009;210670;8
2010;210670;6
2011;210670;3
2012;210670;10
2013;210670;3
2014;210670;4
2015;210670;6
2016;210670;3
2004;210675;7
2005;210675;9
2006;210675;9
2007;210675;5
2008;210675;4
2009;210675;7
2010;210675;3
2011;210675;4
2012;210675;7
2013;210675;3
2014;210675;4
2015;210675;6
2016;210675;3
2004;210680;5
2005;210680;4
2006;210680;4
2007;210680;4
2008;210680;5
2009;210680;7
2010;210680;5
2011;210680;6
2012;210680;1
2013;210680;3
2014;210680;3
2015;210680;2
2016;210680;2
2004;210690;8
2005;210690;8
2006;210690;15
2007;210690;10
2008;210690;12
2009;210690;7
2010;210690;8
2011;210690;9
2012;210690;12
2013;210690;7
2014;210690;13
2015;210690;10
2016;210690;13
2004;210700;2
2005;210700;3
2006;210700;3
2007;210700;3
2008;210700;6
2009;210700;4
2010;210700;4
2011;210700;3
2012;210700;1
2013;210700;5
2014;210700;1
2015;210700;2
2016;210700;3
2004;210710;11
2005;210710;11
2006;210710;11
2007;210710;9
2008;210710;5
2009;210710;2
2010;210710;8
2011;210710;7
2012;210710;2
2013;210710;4
2014;210710;5
2015;210710;3
2016;210710;2
2004;210720;10
2005;210720;9
2006;210720;4
2007;210720;1
2008;210720;4
2009;210720;9
2010;210720;6
2011;210720;5
2012;210720;7
2013;210720;3
2014;210720;3
2016;210720;2
2005;210725;3
2006;210725;4
2007;210725;3
2008;210725;5
2009;210725;1
2011;210725;6
2015;210725;1
2016;210725;2
2004;210730;1
2008;210730;1
2009;210730;2
2010;210730;2
2012;210730;2
2013;210730;2
2015;210730;2
2016;210730;1
2004;210735;2
2005;210735;2
2006;210735;3
2007;210735;1
2008;210735;8
2009;210735;3
2010;210735;3
2011;210735;5
2012;210735;1
2013;210735;4
2014;210735;1
2015;210735;5
2016;210735;5
2004;210740;10
2005;210740;5
2006;210740;4
2007;210740;3
2008;210740;4
2009;210740;6
2010;210740;2
2011;210740;2
2012;210740;5
2013;210740;3
2014;210740;2
2015;210740;2
2016;210740;4
2004;210745;3
2005;210745;1
2006;210745;1
2007;210745;2
2008;210745;1
2009;210745;2
2010;210745;3
2011;210745;5
2012;210745;1
2013;210745;2
2014;210745;2
2015;210745;4
2016;210745;1
2004;210750;23
2005;210750;18
2006;210750;26
2007;210750;20
2008;210750;17
2009;210750;28
2010;210750;24
2011;210750;27
2012;210750;27
2013;210750;23
2014;210750;32
2015;210750;24
2016;210750;37
2004;210760;9
2005;210760;8
2006;210760;6
2007;210760;2
2008;210760;5
2009;210760;7
2010;210760;6
2011;210760;6
2013;210760;2
2014;210760;5
2015;210760;7
2016;210760;5
2004;210770;10
2005;210770;11
2006;210770;6
2007;210770;7
2008;210770;1
2009;210770;1
2010;210770;5
2011;210770;3
2012;210770;2
2013;210770;10
2014;210770;5
2015;210770;3
2016;210770;5
2004;210780;18
2005;210780;15
2006;210780;14
2007;210780;15
2008;210780;12
2009;210780;9
2010;210780;6
2011;210780;15
2012;210780;7
2013;210780;8
2014;210780;13
2015;210780;9
2016;210780;11
2004;210790;4
2005;210790;6
2006;210790;4
2007;210790;9
2008;210790;6
2009;210790;7
2010;210790;3
2011;210790;1
2012;210790;3
2013;210790;7
2014;210790;7
2015;210790;3
2016;210790;4
2004;210800;5
2005;210800;5
2006;210800;5
2007;210800;3
2008;210800;5
2009;210800;2
2010;210800;1
2011;210800;4
2012;210800;3
2013;210800;3
2014;210800;3
2015;210800;2
2016;210800;8
2004;210805;8
2005;210805;2
2006;210805;2
2007;210805;2
2008;210805;5
2009;210805;4
2010;210805;4
2011;210805;2
2012;210805;4
2013;210805;3
2014;210805;6
2015;210805;3
2016;210805;4
2004;210810;5
2005;210810;9
2006;210810;2
2007;210810;7
2008;210810;5
2009;210810;14
2010;210810;9
2011;210810;9
2012;210810;8
2013;210810;8
2014;210810;5
2015;210810;14
2016;210810;6
